GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Case-Pessoas,com.pessoas.Case.Pessoas.security,SecurityFilter,26,25,4,2,5,9,3,3,0,3
Case-Pessoas,com.pessoas.Case.Pessoas.security,SecurityConfig,0,51,0,0,0,11,0,6,0,6
Case-Pessoas,com.pessoas.Case.Pessoas.security,TokenService,32,3,0,0,14,1,2,1,2,1
Case-Pessoas,com.pessoas.Case.Pessoas.infra.web.controller,ColaboradorController,16,195,0,0,4,37,1,10,1,10
Case-Pessoas,com.pessoas.Case.Pessoas.infra.persistence,ColaboradorEntity,0,3,0,0,0,1,0,1,0,1
Case-Pessoas,com.pessoas.Case.Pessoas.infra.persistence,AvaliacaoId,8,51,5,5,2,9,6,3,1,3
Case-Pessoas,com.pessoas.Case.Pessoas.infra.persistence,AvaliacaoComportamentalEntity,0,3,0,0,0,1,0,1,0,1
Case-Pessoas,com.pessoas.Case.Pessoas.infra.persistence,AvaliacaoEntregaEntity,9,17,0,0,3,5,1,2,1,2
Case-Pessoas,com.pessoas.Case.Pessoas.infra.persistence,DesafioEntity,0,3,0,0,0,1,0,1,0,1
Case-Pessoas,com.pessoas.Case.Pessoas.infra.mapper,AvaliacaoMapper,5,236,5,17,1,58,5,18,0,12
Case-Pessoas,com.pessoas.Case.Pessoas.infra.mapper,ColaboradorMapper,0,37,0,0,0,12,0,3,0,3
Case-Pessoas,com.pessoas.Case.Pessoas.domain.model,Desafio,0,31,0,8,0,8,0,5,0,1
Case-Pessoas,com.pessoas.Case.Pessoas.domain.model,AvaliacaoComportamental,0,63,0,16,0,11,0,10,0,2
Case-Pessoas,com.pessoas.Case.Pessoas.domain.model,Avaliacao,0,87,1,15,0,26,1,13,0,6
Case-Pessoas,com.pessoas.Case.Pessoas.domain.model,Colaborador,3,15,0,0,1,6,1,1,1,1
Case-Pessoas,com.pessoas.Case.Pessoas.application.mapper,ColaboradorApiMapper,0,35,0,4,0,13,0,5,0,3
Case-Pessoas,com.pessoas.Case.Pessoas.application.mapper,AvaliacaoApiMapper,2,65,1,9,0,22,1,9,0,5
Case-Pessoas,com.pessoas.Case.Pessoas.application.exception,RegraDeNegocioException,0,4,0,0,0,2,0,1,0,1
Case-Pessoas,com.pessoas.Case.Pessoas.application.exception,RecursoNaoEncontradoException,0,4,0,0,0,2,0,1,0,1
Case-Pessoas,com.pessoas.Case.Pessoas.infra.web.exception,ApiErrorResponse,39,0,0,0,5,0,3,0,3,0
Case-Pessoas,com.pessoas.Case.Pessoas.infra.web.exception,GlobalExceptionHandler,165,7,0,0,33,2,7,2,7,2
Case-Pessoas,com.pessoas.Case.Pessoas.application.dto,AuthResponseDTO,0,6,0,0,0,1,0,1,0,1
Case-Pessoas,com.pessoas.Case.Pessoas.application.dto,PerformanceGeralDTO,0,18,0,0,0,1,0,1,0,1
Case-Pessoas,com.pessoas.Case.Pessoas.application.dto,AvaliacaoCompletaRequestDTO,0,9,0,0,0,1,0,1,0,1
Case-Pessoas,com.pessoas.Case.Pessoas.application.dto,AvaliacaoEntregasDTO,6,0,0,0,1,0,1,0,1,0
Case-Pessoas,com.pessoas.Case.Pessoas.application.dto,AvaliacaoComportamentalDTO,0,15,0,0,0,1,0,1,0,1
Case-Pessoas,com.pessoas.Case.Pessoas.application.dto,AuthRequestDTO,0,9,0,0,0,1,0,1,0,1
Case-Pessoas,com.pessoas.Case.Pessoas.application.dto,AvaliacaoEntregasRequestDTO,0,6,0,0,0,1,0,1,0,1
Case-Pessoas,com.pessoas.Case.Pessoas.application.dto,ColaboradorDTO,0,15,0,0,0,1,0,1,0,1
Case-Pessoas,com.pessoas.Case.Pessoas.application.dto,DesafioDTO,0,9,0,0,0,1,0,1,0,1
Case-Pessoas,com.pessoas.Case.Pessoas,CasePessoasApplication,5,3,0,0,2,1,1,1,1,1
Case-Pessoas,com.pessoas.Case.Pessoas.application.service,AutenticacaoServiceImpl,0,44,0,4,0,10,0,4,0,2
Case-Pessoas,com.pessoas.Case.Pessoas.application.service,AvaliacaoServiceImpl,0,328,0,2,0,60,0,10,0,9
Case-Pessoas,com.pessoas.Case.Pessoas.application.service,ColaboradorServiceImpl,0,160,0,6,0,32,0,10,0,7
Case-Pessoas,com.pessoas.Case.Pessoas.infra.adapter,AvaliacaoRepositoryAdapter,20,365,5,13,3,72,5,15,1,10
Case-Pessoas,com.pessoas.Case.Pessoas.infra.adapter,ColaboradorRepositoryAdapter,0,88,0,2,0,18,0,6,0,5
